condition,c,row,col,target,local_estimate,local_error,global_estimate,global_error
ill,0.0,1x,1x,1.0,0.9916106900191476,-0.00838930998085241,1.009675534457149,0.009675534457149082
ill,0.0,1x,1p,-0.5,-0.490547106738326,0.009452893261673978,-0.5012913347667566,-0.00129133476675658
ill,0.0,1x,2x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1x,2p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1x,3x,0.0,0.0,0.0,0.0,0.0
ill,0.0,1x,3p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1x,4x,0.0,0.0,0.0,0.0,0.0
ill,0.0,1x,4p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1x,5x,0.0,0.0,0.0,0.0,0.0
ill,0.0,1x,5p,0.0,0.0,0.0,-0.0,-0.0
ill,0.0,1p,1x,-0.5,-0.490547106738326,0.009452893261673978,-0.5012913347667566,-0.00129133476675658
ill,0.0,1p,1p,1.0,0.9903865645087742,-0.009613435491225841,1.013635844034807,0.013635844034806999
ill,0.0,1p,2x,-0.5,-0.49005434236690026,0.009945657633099736,-0.5063210496420865,-0.006321049642086463
ill,0.0,1p,2p,0.0,0.0,0.0,0.0,0.0
ill,0.0,1p,3x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1p,3p,0.0,0.0,0.0,0.0,0.0
ill,0.0,1p,4x,0.0,0.0,0.0,0.0,0.0
ill,0.0,1p,4p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1p,5x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,1p,5p,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,2x,1x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2x,1p,-0.5,-0.49005434236690026,0.009945657633099736,-0.5063210496420865,-0.006321049642086463
ill,0.0,2x,2x,1.0,0.9943779629952696,-0.005622037004730407,1.0153917194624482,0.015391719462448217
ill,0.0,2x,2p,-0.5,-0.5003331234577135,-0.0003331234577135245,-0.5109690176946815,-0.010969017694681504
ill,0.0,2x,3x,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,2x,3p,0.0,0.0,0.0,0.0,0.0
ill,0.0,2x,4x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2x,4p,0.0,0.0,0.0,0.0,0.0
ill,0.0,2x,5x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2x,5p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2p,1x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2p,1p,0.0,0.0,0.0,0.0,0.0
ill,0.0,2p,2x,-0.5,-0.5003331234577135,-0.0003331234577135245,-0.5109690176946815,-0.010969017694681504
ill,0.0,2p,2p,1.0,0.9978841722104312,-0.0021158277895687583,1.0179709111566144,0.017970911156614422
ill,0.0,2p,3x,-0.5,-0.49095732143970405,0.009042678560295947,-0.5040278307879161,-0.004027830787916131
ill,0.0,2p,3p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2p,4x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,2p,4p,0.0,0.0,0.0,-0.0,-0.0
ill,0.0,2p,5x,0.0,0.0,0.0,0.0,0.0
ill,0.0,2p,5p,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,3x,1x,0.0,0.0,0.0,0.0,0.0
ill,0.0,3x,1p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,3x,2x,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,3x,2p,-0.5,-0.49095732143970405,0.009042678560295947,-0.5040278307879161,-0.004027830787916131
ill,0.0,3x,3x,1.0,0.9877958218649566,-0.012204178135043375,1.0070660188670093,0.007066018867009305
ill,0.0,3x,3p,-0.5,-0.4976791919973357,0.0023208080026643207,-0.5086251848180239,-0.008625184818023879
ill,0.0,3x,4x,0.0,0.0,0.0,0.0,0.0
ill,0.0,3x,4p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,3x,5x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,3x,5p,0.0,0.0,0.0,0.0,0.0
ill,0.0,3p,1x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,3p,1p,0.0,0.0,0.0,0.0,0.0
ill,0.0,3p,2x,0.0,0.0,0.0,0.0,0.0
ill,0.0,3p,2p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,3p,3x,-0.5,-0.4976791919973357,0.0023208080026643207,-0.5086251848180239,-0.008625184818023879
ill,0.0,3p,3p,1.0,0.9942191387888115,-0.005780861211188482,1.0147688097336682,0.014768809733668231
ill,0.0,3p,4x,-0.5,-0.4947859002793458,0.005214099720654175,-0.5071381433829742,-0.007138143382974249
ill,0.0,3p,4p,0.0,0.0,0.0,0.0,0.0
ill,0.0,3p,5x,0.0,0.0,0.0,0.0,0.0
ill,0.0,3p,5p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4x,1x,0.0,0.0,0.0,0.0,0.0
ill,0.0,4x,1p,0.0,0.0,0.0,0.0,0.0
ill,0.0,4x,2x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4x,2p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4x,3x,0.0,0.0,0.0,0.0,0.0
ill,0.0,4x,3p,-0.5,-0.4947859002793458,0.005214099720654175,-0.5071381433829742,-0.007138143382974249
ill,0.0,4x,4x,1.0,0.9947152006780611,-0.005284799321938927,1.0131162077318532,0.01311620773185318
ill,0.0,4x,4p,-0.5,-0.4958726215535907,0.004127378446409313,-0.5038223700187068,-0.0038223700187067777
ill,0.0,4x,5x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4x,5p,0.0,0.0,0.0,0.0,0.0
