condition,c,row,col,target,local_estimate,local_error,global_estimate,global_error
well,0.1,1x,1x,1.05,1.0448865570869388,-0.005113442913061261,1.0624091136730272,0.012409113673027106
well,0.1,1x,1p,-0.5,-0.5068536055222852,-0.0068536055222852,-0.51686540538687,-0.01686540538686998
well,0.1,1x,2x,0.0,0.0,0.0,-0.0,-0.0
well,0.1,1x,2p,0.0,0.0,0.0,0.0,0.0
well,0.1,1x,3x,0.0,0.0,0.0,0.0,0.0
well,0.1,1x,3p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,1x,4x,0.0,0.0,0.0,0.0,0.0
well,0.1,1x,4p,0.0,0.0,0.0,0.0,0.0
well,0.1,1x,5x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,1x,5p,0.0,0.0,0.0,0.0,0.0
well,0.1,1p,1x,-0.5,-0.5068536055222852,-0.0068536055222852,-0.51686540538687,-0.01686540538686998
well,0.1,1p,1p,1.05,1.0635017643484046,0.013501764348404555,1.087082721987421,0.03708272198742102
well,0.1,1p,2x,-0.5,-0.505507467820549,-0.005507467820549006,-0.5217902617923287,-0.02179026179232868
well,0.1,1p,2p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,1p,3x,0.0,-0.0,-0.0,0.0,0.0
well,0.1,1p,3p,0.0,0.0,0.0,0.0,0.0
well,0.1,1p,4x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,1p,4p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,1p,5x,0.0,0.0,0.0,0.0,0.0
well,0.1,1p,5p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2x,1x,0.0,0.0,0.0,-0.0,-0.0
well,0.1,2x,1p,-0.5,-0.505507467820549,-0.005507467820549006,-0.5217902617923287,-0.02179026179232868
well,0.1,2x,2x,1.05,1.0573064489778297,0.007306448977829616,1.0834446970958809,0.033444697095880827
well,0.1,2x,2p,-0.5,-0.4924218459545924,0.007578154045407626,-0.5034291531280962,-0.0034291531280962184
well,0.1,2x,3x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2x,3p,0.0,-0.0,-0.0,0.0,0.0
well,0.1,2x,4x,0.0,0.0,0.0,0.0,0.0
well,0.1,2x,4p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2x,5x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2x,5p,0.0,0.0,0.0,0.0,0.0
well,0.1,2p,1x,0.0,0.0,0.0,0.0,0.0
well,0.1,2p,1p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2p,2x,-0.5,-0.4924218459545924,0.007578154045407626,-0.5034291531280962,-0.0034291531280962184
well,0.1,2p,2p,1.05,1.0369063482469263,-0.013093651753073754,1.0601572271628306,0.010157227162830518
well,0.1,2p,3x,-0.5,-0.489088334395267,0.010911665604733,-0.5011121008495152,-0.0011121008495151852
well,0.1,2p,3p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,2p,4x,0.0,0.0,0.0,0.0,0.0
well,0.1,2p,4p,0.0,0.0,0.0,0.0,0.0
well,0.1,2p,5x,0.0,-0.0,-0.0,0.0,0.0
well,0.1,2p,5p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,3x,1x,0.0,0.0,0.0,0.0,0.0
well,0.1,3x,1p,0.0,-0.0,-0.0,0.0,0.0
well,0.1,3x,2x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,3x,2p,-0.5,-0.489088334395267,0.010911665604733,-0.5011121008495152,-0.0011121008495151852
well,0.1,3x,3x,1.05,1.0522382962933325,0.002238296293332498,1.0729382251401471,0.022938225140147095
well,0.1,3x,3p,-0.5,-0.5030452785458394,-0.0030452785458393583,-0.5114928014976393,-0.011492801497639316
well,0.1,3x,4x,0.0,0.0,0.0,0.0,0.0
well,0.1,3x,4p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,3x,5x,0.0,-0.0,-0.0,-0.0,-0.0
