Samples,Repeat,l,Error,c,m,Beta,Seed,ReuseSamplesAcrossL
10000,1,2,0.24091545689960392,0.1,100,0.5,403,True
10000,1,4,0.21021118662329852,0.1,100,0.5,403,True
10000,1,6,0.23978671766117188,0.1,100,0.5,403,True
10000,1,8,0.21876348582567195,0.1,100,0.5,403,True
10000,1,10,0.26195568217483634,0.1,100,0.5,403,True
100000,1,2,0.1585338888787553,0.1,100,0.5,403,True
100000,1,4,0.03792658192505116,0.1,100,0.5,403,True
100000,1,6,0.03882508901569803,0.1,100,0.5,403,True
100000,1,8,0.038593661134126434,0.1,100,0.5,403,True
100000,1,10,0.04159870076467209,0.1,100,0.5,403,True
