SystemSize_m,Avg_Naive_Error,Avg_Local_Error,Avg_Naive_Time_sec,Avg_Local_Time_sec,Condition,c,Samples,Locality,Repeats,Beta,Seed
100.0,0.3903343038491859,0.24537553579244045,0.047356433188542726,0.0478041831869632,well,0.1,10000,3,5,0.5,20240729
150.0,0.36554708983794987,0.27487421100448695,0.10505295000039042,0.10499915000982582,well,0.1,10000,3,5,0.5,20240729
200.0,0.34625778128520446,0.23277252268287402,0.1863478333922103,0.18506641660351306,well,0.1,10000,3,5,0.5,20240729
250.0,0.35201796414095127,0.26110263294110697,0.31096810000017283,0.289739283407107,well,0.1,10000,3,5,0.5,20240729
300.0,0.34484924374080705,0.2577019766387315,0.48930942500010133,0.4783351082121953,well,0.1,10000,3,5,0.5,20240729
350.0,0.38858619084774904,0.3300671013544766,0.6855031500104815,0.6961398917948827,well,0.1,10000,3,5,0.5,20240729
400.0,0.3831698662041124,0.30033218462065775,0.9661108415806666,0.927889533387497,well,0.1,10000,3,5,0.5,20240729
450.0,0.7449651404713457,0.3276219371911271,1.3269478084053845,1.276748083392158,well,0.1,10000,3,5,0.5,20240729
500.0,0.9456144634627719,0.28479763460870544,1.6200540668098256,1.5206456165993587,well,0.1,10000,3,5,0.5,20240729
550.0,1.7277895585170142,0.30805119884869175,2.126892833202146,2.0039374249987305,well,0.1,10000,3,5,0.5,20240729
600.0,0.6626270770307334,0.2732785574867288,2.569319449993782,2.42320176679641,well,0.1,10000,3,5,0.5,20240729
650.0,1.2260147230437177,0.3365044524964265,3.101458391803317,2.9601962999906393,well,0.1,10000,3,5,0.5,20240729
700.0,1.0432295221617889,0.37213067782273496,3.7566100915893914,3.537480591610074,well,0.1,10000,3,5,0.5,20240729
750.0,0.9835652732919737,0.340650749417292,4.482797691598535,4.263457066612318,well,0.1,10000,3,5,0.5,20240729
800.0,1.1509562415873682,0.3178570908469684,5.514249066612683,5.165650849998928,well,0.1,10000,3,5,0.5,20240729
850.0,2.1131395997298212,0.37111395838057554,6.5054550499888135,5.874050650000572,well,0.1,10000,3,5,0.5,20240729
900.0,1.209297408218409,0.32966616543021454,7.783277416601777,7.085295774997212,well,0.1,10000,3,5,0.5,20240729
950.0,0.9671034194155765,0.3079754477643685,8.55590810838621,8.034383674990385,well,0.1,10000,3,5,0.5,20240729
1000.0,1.3185501858460646,0.3855447497336336,9.893156591802835,9.113034741790035,well,0.1,10000,3,5,0.5,20240729
1050.0,1.413457106294193,0.3028105304418512,11.236018866789527,10.44189788340591,well,0.1,10000,3,5,0.5,20240729
1100.0,1.165698209722232,0.33992547255389904,12.914099258417263,11.524919216590934,well,0.1,10000,3,5,0.5,20240729
1150.0,1.1548721561116477,0.3250067443637137,14.028381033195183,13.130497791804373,well,0.1,10000,3,5,0.5,20240729
