row,col,target,local_estimate,local_error,global_estimate,global_error
mode21_x,mode21_x,1.05,1.041494037044298,-0.008505962955702051,1.0630431260260553,0.013043126026055285
mode21_x,mode21_p,-0.5,-0.4933624382755452,0.006637561724454788,-0.5037717420539001,-0.0037717420539000734
mode21_x,mode22_x,0.0,0.0,0.0,0.0,0.0
mode21_x,mode22_p,0.0,-0.0,-0.0,0.0,0.0
mode21_x,mode23_x,0.0,-0.0,-0.0,-0.0,-0.0
mode21_x,mode23_p,0.0,-0.0,-0.0,-0.0,-0.0
mode21_x,mode24_x,0.0,0.0,0.0,0.0,0.0
mode21_x,mode24_p,0.0,-0.0,-0.0,-0.0,-0.0
mode21_x,mode25_x,0.0,0.0,0.0,0.0,0.0
mode21_x,mode25_p,0.0,0.0,0.0,0.0,0.0
mode21_p,mode21_x,-0.5,-0.4933624382755452,0.006637561724454788,-0.5037717420539001,-0.0037717420539000734
mode21_p,mode21_p,1.05,1.038897598459895,-0.011102401540105111,1.0603589258974253,0.010358925897425264
mode21_p,mode22_x,-0.5,-0.4936444272247646,0.006355572775235407,-0.5052825296229306,-0.005282529622930632
mode21_p,mode22_p,0.0,-0.0,-0.0,-0.0,-0.0
mode21_p,mode23_x,0.0,0.0,0.0,0.0,0.0
mode21_p,mode23_p,0.0,-0.0,-0.0,-0.0,-0.0
mode21_p,mode24_x,0.0,-0.0,-0.0,-0.0,-0.0
mode21_p,mode24_p,0.0,0.0,0.0,0.0,0.0
mode21_p,mode25_x,0.0,-0.0,-0.0,-0.0,-0.0
mode21_p,mode25_p,0.0,0.0,0.0,0.0,0.0
mode22_x,mode21_x,0.0,0.0,0.0,0.0,0.0
mode22_x,mode21_p,-0.5,-0.4936444272247646,0.006355572775235407,-0.5052825296229306,-0.005282529622930632
mode22_x,mode22_x,1.05,1.0534017652572683,0.0034017652572682078,1.073317571154997,0.023317571154996886
mode22_x,mode22_p,-0.5,-0.5052041944583312,-0.005204194458331202,-0.5139160601483037,-0.01391606014830371
mode22_x,mode23_x,0.0,-0.0,-0.0,-0.0,-0.0
mode22_x,mode23_p,0.0,0.0,0.0,0.0,0.0
mode22_x,mode24_x,0.0,0.0,0.0,0.0,0.0
mode22_x,mode24_p,0.0,-0.0,-0.0,-0.0,-0.0
mode22_x,mode25_x,0.0,0.0,0.0,0.0,0.0
mode22_x,mode25_p,0.0,-0.0,-0.0,-0.0,-0.0
mode22_p,mode21_x,0.0,-0.0,-0.0,0.0,0.0
mode22_p,mode21_p,0.0,-0.0,-0.0,-0.0,-0.0
mode22_p,mode22_x,-0.5,-0.5052041944583312,-0.005204194458331202,-0.5139160601483037,-0.01391606014830371
mode22_p,mode22_p,1.05,1.0809490858752537,0.03094908587525369,1.1027229725584702,0.05272297255847014
mode22_p,mode23_x,-0.5,-0.5179257711816184,-0.017925771181618422,-0.5315609845541822,-0.031560984554182214
